Name,A,B,C,D
GT22,0.026174492,0.026402621,0.040537581,0.047279702
GT25,0.0320534,0.034914303,0.033447648,0.035678928
GH98,0.028207932,0.02782938,0.0324085,0.042062471
GH165,0.029258377,0.028762149,0.038105085,0.033663374
PL31,0.03077422,0.064584298,0.020394113,0.012230447
GH43_9,0.027008698,0.025365577,0.037041966,0.037734191
GH30_4,0.029261379,0.021579998,0.031697381,0.044136527
GH43_18,0.026365144,0.024376905,0.034997783,0.039869434
GH136,0.030800535,0.02725206,0.036154872,0.030765066
GH43_26,0.038446642,0.027515476,0.031463649,0.025639877
GH108,0.04666606,0.0237642,0.031692904,0.020688281
GH30,0.026864282,0.02675139,0.030865558,0.032991846
GH43_31,0.026369647,0.022890713,0.035632506,0.030533228
CBM44,0.02716288,0.022647263,0.030696759,0.029959588
GH37,0.026376351,0.02537719,0.027884914,0.027486511
GH5_54,0.024736876,0.06239642,0.015207128,0.004771953
GH121,0.02311437,0.020943493,0.029487682,0.033513294
GH30_2,0.033767465,0.025057336,0.024639775,0.023455881
CBM51,0.028378755,0.022579613,0.027517004,0.027572368
GT21,0.024379975,0.02806204,0.02189804,0.029732328
GH13_25,0.018865816,0.073460061,0.007934828,0.000783114
PL4,0.023520114,0.019242375,0.02663677,0.031464353
CBM45,0.022704642,0.066172439,0.010255718,0.001315227
GH13_21,0.03838529,0.020382619,0.021710876,0.01961731
GH13_3,0.025336581,0.025010079,0.02410735,0.025473147
GH13_18,0.045715606,0.019715796,0.017918766,0.016399642
AA3_2,0.035319195,0.023967399,0.021545892,0.018644189
GH151,0.023412298,0.026116117,0.021646633,0.026965718
PL27,0.024966527,0.020729143,0.024861432,0.025736052
GH19,0.020565573,0.045828239,0.016628965,0.013215284
PL33_1,0.024244864,0.023176865,0.022538287,0.025213133
GH116,0.024096553,0.02061136,0.026486441,0.022856714
GH13_23,0.026022564,0.018910101,0.023088774,0.022358787
GH59,0.017880176,0.016621663,0.025519303,0.029792071
GH64,0.021671485,0.057146397,0.008300764,0.002555374
GT84,0.024672083,0.018582769,0.023003586,0.02284043
PL11_2,0.022147167,0.015382912,0.023979028,0.026704569
GT57,0.015541653,0.062074883,0.009202333,0.000979157
GH43_11,0.043026413,0.019369577,0.012450685,0.01038057
PL35,0.020343318,0.020588141,0.02334166,0.020870629
GH81,0.019197567,0.02422717,0.022045269,0.019525295
GH30_1,0.024527753,0.017137058,0.021838162,0.019171404
GH54,0.020603542,0.019602659,0.019015749,0.02284087
GH5_8,0.021185157,0.048607871,0.005731127,0.003942927
GT56,0.014353413,0.024609923,0.020244453,0.019692377
GH13_37,0.014587249,0.014470822,0.023370196,0.02525378
GH5_36,0.01261875,0.014776444,0.023600958,0.025392753
GH112,0.029084672,0.014071848,0.014515804,0.01366531
GH113,0.022806071,0.01543695,0.01559581,0.017484327
GH43_27,0.020191978,0.014119169,0.014827473,0.019847528
PL10_2,0.01456369,0.011387223,0.019364473,0.022027509
GT75,0.015246552,0.040872249,0.008175691,0.002382476
GT46,0.014806824,0.015162278,0.01967795,0.016974996
PL4_4,0.014584041,0.011794856,0.016643179,0.02200582
CBM72,0.013357327,0.015016673,0.015269443,0.019247788
GH13_24,0.013009359,0.04149547,0.007623668,0.000660159
GH85,0.013828679,0.013171322,0.020992265,0.014712011
PL9_3,0.012641558,0.038414403,0.007220979,0.003488724
GH13_10,0.018650298,0.014432202,0.015264531,0.011568364
GH43_33,0.01240974,0.012345902,0.019868497,0.014880108
CBM2,0.016524734,0.011090451,0.015893382,0.01572217
GH120,0.019556208,0.011910954,0.012657515,0.012917053
GH149,0.013497797,0.013061276,0.017754007,0.012355926
CBM77,0.012418354,0.013202409,0.013969894,0.016052365
GT2_Chitin_synth_2,0.014488242,0.013092238,0.014295205,0.012359129
GH114,0.020053981,0.010100493,0.013090097,0.010280125
PL22_2,0.012577775,0.009319382,0.015917472,0.015356187
GH43_37,0.011731449,0.022007774,0.009870146,0.008897064
GH5_44,0.026432081,0.012839683,0.006692846,0.005985452
AA11,0.010624761,0.033472484,0.006612297,0.000876843
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
